City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,midvagur,62.0511,-7.1939,3.46,75,75,2.06,FO,1704575011
1,kinablangan,7.6947,126.5503,25.29,87,99,2.34,PH,1704575012
2,ciudad madero,22.2667,-97.8333,24.11,69,75,4.12,MX,1704574980
3,grantsville,40.5999,-112.4644,2.08,60,0,4.63,US,1704575013
4,dryden,49.7833,-92.7503,-4.84,86,100,1.54,CA,1704575013
5,codrington,-38.2667,141.9667,20.29,95,100,3.08,AU,1704575013
6,howard springs,-12.497,131.047,26.95,95,91,1.22,AU,1704575014
7,blackmans bay,-43.0167,147.3167,18.07,79,99,1.34,AU,1704575014
8,siwa oasis,29.2041,25.5195,14.99,25,0,3.78,EG,1704575014
9,stanley,54.868,-1.6985,2.66,96,40,2.57,GB,1704575015
10,ushuaia,-54.8,-68.3,15.79,44,0,5.66,AR,1704574850
11,talnakh,69.4865,88.3972,-23.22,98,100,3.95,RU,1704575015
12,port-aux-francais,-49.35,70.2167,5.26,78,87,11.46,TF,1704575015
13,yreka,41.7354,-122.6345,3.54,93,75,0.0,US,1704575016
14,albany,42.6001,-73.9662,0.35,72,100,0.45,US,1704574837
15,longyearbyen,78.2186,15.6401,-16.09,78,75,2.57,SJ,1704575016
16,aasiaat,68.7098,-52.8699,-10.1,83,100,2.41,GL,1704575016
17,yellowknife,62.456,-114.3525,-29.77,83,75,1.54,CA,1704574854
18,mabaruma,8.2,-59.7833,27.28,71,33,2.79,GY,1704575017
19,mil'kovo,55.6078,37.7956,-15.92,96,90,2.88,RU,1704575017
20,thompson,55.7435,-97.8558,-20.91,77,75,2.06,CA,1704574837
21,martapura,-3.4167,114.85,27.05,94,100,2.06,ID,1704575017
22,la passe,45.5549,-0.8967,6.13,84,10,6.24,FR,1704575018
23,waitangi,-43.9535,-176.5597,14.9,85,4,2.68,NZ,1704575019
24,nova sintra,14.8667,-24.7167,21.43,70,0,6.14,CV,1704575019
25,luanda,-8.8368,13.2343,27.0,74,20,3.09,AO,1704575019
26,jamestown,42.097,-79.2353,-1.27,99,100,5.14,US,1704574996
27,saipan,15.1355,145.701,26.39,83,40,5.66,MP,1704575019
28,alice springs,-23.7,133.8833,25.75,72,87,0.45,AU,1704575020
29,olonkinbyen,70.9221,-8.7187,-6.75,87,99,4.94,SJ,1704575020
30,san patricio,28.017,-97.5169,21.92,38,70,1.87,US,1704575020
31,fuman,37.2273,49.3142,9.89,60,0,1.72,IR,1704575021
32,adrar,20.5022,-10.0711,20.51,16,0,4.31,MR,1704575021
33,nandyal,15.4833,78.4833,20.45,88,24,2.07,IN,1704575022
34,meadow lakes,61.6247,-149.6011,1.46,59,40,3.6,US,1704575022
35,sitka,57.0531,-135.33,2.94,87,75,0.0,US,1704575022
36,kununurra,-15.7667,128.7333,26.99,89,100,2.57,AU,1704574859
37,utrik,11.2278,169.8474,26.9,63,99,9.1,MH,1704575022
38,kirakira,-10.4544,161.9205,27.64,79,81,0.57,SB,1704575023
39,puerto rosario,-24.45,-57.0833,36.57,31,0,1.16,PY,1704575023
40,yongning,24.68,118.69,15.56,75,22,9.33,CN,1704575023
41,el abiodh sidi cheikh,32.893,0.5484,5.97,44,90,3.55,DZ,1704575023
42,zaragoza,41.6561,-0.8773,7.79,74,75,6.17,ES,1704574808
43,edinburgh of the seven seas,-37.0676,-12.3116,15.82,72,100,4.43,SH,1704575023
